Act_No,Title,PDF_URL,Status
A1667,NATIONAL FORESTRY (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1742945_BI/Act A1667.pdf,Acts
A1666,POISONS (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1742947_BI/Act A1666 BI.pdf,Acts
A1665,FEDERAL AGRICULTURAL MARKETING AUTHORITY (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741982_BI/Act A1665.pdf,Acts
A1664,EAST COAST ECONOMIC REGION DEVELOPMENT COUNCIL (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741964_BI/Act A1664.pdf,Acts
A1663,CONSTITUTION (AMENDMENT) (NO.3) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741962_BI/Act A1663.pdf,Acts
A1662,CRIMINAL PROCEDURE CODE (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1742028_BI/Act A1662.pdf,Acts
A1661,COURTS OF JUDICATURE (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1742025_BI/Act A1661.pdf,Acts
A1660,OFFENDERS COMPULSORY ATTENDANCE (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741974_BI/Act A1660.pdf,Acts
A1659,CONTROL OF PADI AND RICE (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741970_BI/Act A1659.pdf,Acts
A1658,EMPLOYEES' SOCIAL SECURITY  (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741730_BI/A1658 BI.pdf,Acts
A1657,EMPLOYMENT INSURANCE SYSTEM (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1741729_BI/A1657 BI.pdf,Acts
A1656,CONSTITUTION (AMENDMENT) (NO.2) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1733746_BI/Act A1656.pdf,Acts
A1655,LABUAN ISLAMIC FINANCIAL SERVICES AND SECURITIES (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1733751_BI/Act A1655.pdf,Acts
A1654,LABUAN FINANCIAL SERVICES AND SECURITIES (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1733750_BI/Act A1654.pdf,Acts
A1653,LABUAN COMPANIES (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1733748_BI/Act A1653.pdf,Acts
A1652,CONTROL OF SUPPLIES (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1731683_BI/Act A1652.pdf,Acts
A1651,EMPLOYMENT (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1731234_BI/A1651 BI.pdf,Acts
A1650,SUPPLEMENTARY SUPPLY (2021) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1731229_BI/A1650 BI.pdf,Acts
A1649,PATENTS (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1725649_BI/A1649 BI.pdf,Acts
A1648,OCCUPATIONAL SAFETY AND HEALTH (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1725651_BI/A1648 BI.pdf,Acts
A1647,MALAYSIA DEPOSIT INSURANCE CORPORATION (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1722572_BI/A1647 BI.pdf,Acts
A1646,WILDLIFE CONSERVATION (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1722570_BI/ACT A1646.pdf,Acts
A1645,COPYRIGHT (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1722573_BI/A1645 BI.pdf,Acts
A1644,ANTI-TRAFFICKING IN PERSONS AND ANTI-SMUGGLING OF MIGRANTS (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1721503_BI/Act A1644.pdf,Acts
A1643,SMALL ESTATES (DISTRIBUTION) (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1721501_BI/Act A1643.pdf,Acts
A1642,CONSTITUTION (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1721506_BI/Act A1642.pdf,Acts
A1641,TEMPORARY MEASURES FOR REDUCING THE IMPACT OF CORONAVIRUS DISEASE 2019 (COVID-19) (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1720504_BI/Act A1641.pdf,Acts
A1640,ADVOCATES ORDINANCE (SABAH) (AMENDMENT) ACT 2021,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1719371_BI/Act A1640.pdf,Acts
A1639,TRADE DESCRIPTIONS (AMENDMENT) 2021,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1719370_BI/Act A1639.pdf,Acts
A1638,SUPPLY ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1719369_BI/WJW211645 A1638 (BI) Teks.pdf,Acts
A1637,NATIONAL TRUST FUND (AMENDMENT) ACT 2021,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1714921_BI/Act A1637 BI.pdf,Acts
A1636,WINDFALL PROFIT LEVY (AMENDMENT) ACT 2021,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1714920_BI/Act A1636 BI.pdf,Acts
A1635,TEMPORARY MEASURES FOR GOVERNMENT FINANCING (CORONAVIRUS DISEASE 2019 (COVID-19)) (AMENDMENT) ACT 2021,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1714923_BI/A1635 BI.pdf,Acts
A1634,CO-OPERATIVE SOCIETIES (AMENDMENT) ACT 2021,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1696027_BI/Act A1634y2021.pdf,Acts
A1633,TOURISM TAX (AMENDMENT) ACT 2021,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20210202_A1633_BI_Act A1633.pdf,Acts
A1632,SERVICE TAX (AMENDMENT) ACT 2020,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1696024_BI/Act A1632.pdf,Acts
A1631,SALES TAX (AMENDMENT) ACT 2020,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1696023_BI/Act-A1631.pdf,Acts
A1630,FREE ZONES (AMENDMENT) ACT 2020,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1696022_BI/ACT A1630.pdf,Acts
A1629,EXCISE (AMENDMENT) ACT 2020,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1696021_BI/18. A1629 EXCISE 2020_unlocked (1).pdf,Acts
A1628,CUSTOMS (AMENDMENT) ACT 2020,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20201231_A1628_BI_Act A1628.pdf,Acts
A1627,TEMPORARY MEASURES FOR GOVERNMENT FINANCING (CORONAVIRUS DISEASE 2019 (COVID-19)) (AMENDMENT) ACT 2020,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20201231_A1627_BI_Act A1627.pdf,Acts
A1626,SUPPLY ACT 2021,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20201231_A1626_BI_WJW015xxx BI.PDF,Acts
A1625,NATIONAL SECURITY COUNCIL (AMENDMENT) ACT 2020,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1685203_BI/WJW015635 Act A1625.pdf,Acts
A1624,INSOLVENCY (AMENDMENT) ACT 2020,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1684469_BI/Act A1624.pdf,Acts
A1623,SUBORDINATE COURTS RULES (AMENDMENT) ACT 2020,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1684468_BI/Act A1623.pdf,Acts
