Start_Index,Act_No,Title,Date_of_Royal_Assent,Publication_Date,Date_of_Commencement,PDF_URL
0,789,SELF-EMPLOYMENT SOCIAL SECURITY ACT 2017,26/05/2017,01/06/2017,13/06/2017,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20170601_WJW008637BI.pdf
0,788,CIVIL AVIATION AUTHORITY OF MALAYSIA ACT 2017,17/02/2017,27/02/2017,19/02/2018,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/800_BI/ACT 788.pdf
0,787,OFFENCES RELATING TO AWARDS ACT 2017,03/02/2017,10/02/2017,25/10/2017,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20170210_WJW008109BI.pdf
0,786,ASIAN INFRASTRUCTURE INVESTMENT BANK ACT 2017,09/01/2017,16/01/2017,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20170116_A786BI.pdf
0,785,FINANCE ACT 2017,09/01/2017,16/01/2017,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/797_BI/ACT 785.pdf
0,784,SCOUTS ASSOCIATION OF MALAYSIA (INCORPORATION) ACT 1968,,17/11/2016,17/11/2016,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20161117_ScoutsAssociationofMalaysia(Incorporation)Act1968[Act784].pdf
0,783,STATUTORY DECLARATIONS ACT 1960,,17/11/2016,17/11/2016,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/Act 783 - Revised.pdf
0,782,FOREST RESEARCH INSTITUTE MALAYSIA ACT 2016,31/08/2016,30/09/2016,01/10/2016,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20160930_AKTAINSTITUTPENYELIDIKANPERHUTANANMALAYSIA2016(BI)Act782.pdf
0,781,REDEMPTORIST FATHERS (INCORPORATION) ACT 1962,,15/09/2016,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20160915_Warta-RedemptoristFathers(Incorporation)Act1962[Act781].pdf
0,780,BERNAMA ACT 1967,,15/09/2016,15/09/2016,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20160915_Warta-BERNAMAAct1967[Act780].pdf
0,779,LEGISLATURE OF SARAWAK (APPLICATION OF MONIES BORROWED FROM THE FEDERATION) ACT 1968,,15/09/2016,15/09/2016,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20160915_ACT779EN.pdf
0,778,INTEREST SCHEMES ACT 2016,31/08/2016,15/09/2016,31/01/2017,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20160915_WJW007260AktaSkimKepentingan2016BI.pdf
0,777,COMPANIES ACT 2016,31/08/2016,15/09/2016,10/01/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20160915_CompaniesAct2016Act777.pdf
0,776,NATIONAL SECURITY COUNCIL ACT 2016,18/02/2016,07/06/2018,01/08/2016,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20160607_776-BI.pdf
0,775,TRADITIONAL AND COMPLEMENTARY MEDICINE ACT 2016,02/03/2016,10/03/2016,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20160310_WJW006216Act775-BI.pdf
0,774,ALLIED HEALTH PROFESSIONS ACT 2016,04/02/2016,18/02/2016,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20160218_ACT776-BI.pdf
0,773,FINANCE ACT 2015,29/12/2015,30/12/2015,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/785_BI/ACT 773.pdf
0,772,ANIMAL WELFARE ACT 2015,21/12/2015,29/12/2015,01/07/2017,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20151229_AKTA 772_BI_akta 772-BI.pdf
0,771,MALAYSIAN AVIATION COMMISSION ACT 2015,25/08/2015,27/08/2015,01/03/2016,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20150827_771_BI_WJW005003 BI (AKTA 771).pdf
0,770,SPECIAL MEASURES AGAINST TERRORISM IN FOREIGN COUNTRIES ACT 2015,28/05/2015,04/06/2015,15/06/2015,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20150604_Act770(BI).pdf
100,769,PREVENTION OF TERRORISM ACT 2015,28/05/2015,04/06/2015,01/09/2015,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20150604_Act769(BI).pdf
100,768,TECHNOLOGISTS AND TECHNICIANS ACT 2015,28/05/2015,04/06/2015,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20150604_Act768(BI).pdf
100,767,PUBLIC SECTOR HOME FINANCING BOARD ACT 2015,28/05/2015,04/06/2015,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20150604_Act767(BI).pdf
100,766,NETTING OF FINANCIAL AGREEMENTS ACT 2015,02/03/2015,06/03/2015,30/03/2015,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20150306_766_AKTA PENGHASILAN BERSIH PERJANJIAN KEWANGAN 2015 (BI).pdf
